key,en
TR_FOLLOW_THROUGH,Follow Through
TR_FT_DRAG,Drag :
TR_FT_STRETCH,Stretch :
TR_FULL_CREDITS,"PNGTuber Remix by TheMime (MudkipWorld)\nOriginal PNGTuber+ Code by kaiakairos. Better UI by LeoRson.\n\nV1.3.4"
TR_GRAY,Gray
TR_GREEN,Green
TR_HATCHES,Hatches
TR_HOT_KEY_LABEL,Hot Key :
TR_IDLE,Idle
TR_IGNORE_BOUNCE,Ignore Bound
TR_IMAGE,Image
TR_IS_ASSET,Is Asset
TR_LANGUAGE_LABEL,Language :
TR_LAYOUT,Layout
TR_LIGHT_COLOR,Light Color :
TR_LIGHT_ENERGY,Light Energy :
TR_LIGHT_SETTINGS,Light Settings
TR_LIGHT_SHAPE_VISIBLE,Light Shape Visible
TR_LIGHT_SIZE,Light Size :
TR_LIGHT_VISIBLE,Light Visible
TR_LIP_SYNC_CONFIG,LipSync Configuration
TR_LS_DARKEN_TOOLTIP,Darkens Your model when not speaking.
TR_MAGENTA,Magenta
TR_MAX_FPS,Max FPS
TR_MICROPHONE_LABEL,Microphone :
TR_MINI_TUTORIAL,Mini Tutorial (WIP)
TR_MINUTE_ABBREVIATION,min
TR_MODE,Mode
TR_MODEL_ANIMATIONS,Model Animations
TR_MODEL_EFFECT,Model Effect :
TR_MOUSE_VELOCITY,Mouse Velocity
TR_MOUTH_CLOSED,Mouth Closed :
TR_MOVE_WITH_MOUSE_TOOLTIP,"Animate to Mouse must be turned on in order for this feature to work when toggled off, it stops the sprite from moving on the x and y axis, but keeps the Animate to Mouse working."
TR_MOVE_WITH_MOUSE,Move with Mouse
TR_NAME,Name
TR_NEW_PNGTUBER_TEXT,Do you want to make a new PNGTuber model?
TR_NEW,New
TR_NONE_ANIMATED_SHEET_TOOLTIP,Turns a SpriteSheet into Static Frames that you can choose from.
TR_NONE_ANIMATED_SHEET,None Animated Sheet
TR_NONE,None
TR_NORMAL_MAP_DEMO,Normal Map Demo
TR_NORMAL_MAP,Normal Map
TR_OFFSET_X,Offset-X :
TR_OFFSET_Y,Offset-Y :
TR_OPEN_FILES,Open File(s)
TR_OPEN,Open
TR_OUTLINE,Outline
TR_PAUSE_MOVEMENT_TOOLTIP,Turns your model Static.\nUncheck to preview your model's movement.\nThis automatically gets unchecked when changing modes.
TR_PAUSE_MOVEMENT,Pause Movement
TR_PHYSICS,Enable Physics
TR_PLEASE_CONFIRM,Please Confirm...
TR_POS_X,Pos-X :
TR_POS_Y,Pos-Y :
TR_PREVIEW,Preview
TR_PROTANOPIA,Protanopia
TR_RAINBOW,Rainbow
TR_REACTION,Reaction
TR_RED,Red
TR_REMAP_STATE_HOTKEYS,Remap State Hot Keys
TR_REMAP,Remap
TR_RESET_ANIMATION_TOOLTIP,Resets animation on changing the current State.
TR_RESET_ANIMATION,Reset Animation
TR_RESET_ON_STATE_CHANGE_TOOLTIP,"Resets the animaton of (APNG, GIF or SpriteSheet) when changing States."
TR_RESET_ON_STATE_CHANGE,Reset on State Change
TR_ROT_DEGREE,Rot-Degree :
TR_ROT_FREQUENCY,Rot-Freq :
TR_ROT_MAX_ROT,Max-Rot :
TR_ROT_MIN_ROT,Min-Rot :
TR_ROT_SPEED,Rot-Speed :
TR_ROTATION,Rotation :
TR_SAVE_AS,Save As
TR_SAVE_ON_EXIT_NOTE,(Helps remember toggled assets)
TR_SAVE_ON_EXIT,Save on Exit
TR_SAVE_WINDOW_POSITIONS,"Save Window (position, size, etc..)"
TR_SAVE,Save
TR_SCREEN_CRT,Screen CRT
TR_SETTINGS,Settings
TR_SHOULD_BLINK,Should Blink :
TR_SHOULD_TALK,Should Talk :
TR_SHOW_UI,Show UI
TR_SIZE_X,Size-X :
TR_SIZE_Y,Size-Y :
TR_SOCIALS,Socials :
TR_SOURCE_CODE,Source Code :
TR_SPRITES,Sprites
TR_SQUISH_AMOUNT,Squish Amount
TR_SQUISH_ON_BLINK,Squish on Blink
TR_STATE_REMAP,State Remap
TR_STATIC_OBJECT,Static Object
TR_SYNC_EFFECT,Sync Effect
TR_TEST_FRAME,Frame :
TR_TINT,Tint :
TR_TOGGLE_BORDERS,Toggle Borders
TR_TOOLTIP_ADD_APPENDAGE,Add Appendage
TR_TOOLTIP_ADD_FOLDER,Add Folder
TR_TOOLTIP_ADD_NORMAL_MAP,Add Normal Map
TR_TOOLTIP_ADD_SPRITE,Add Sprite
TR_TOOLTIP_AUTO_ROTATION,Auto Rotates your Sprite. The speed can be changed from the Rot-Speed.
TR_TOOLTIP_DELETE_NORMAL_MAP,Delete Normal Map
TR_TOOLTIP_DELETE_SPRITE,Delete Sprite
TR_TOOLTIP_DUPLICATE_SPRITE,Duplicate Sprite
TR_TOOLTIP_MAIN_VIEW_ZOOM_RESET,Main-View Zoom Reset
TR_TOOLTIP_MINI_VIEW_ZOOM_IN,Mini-View Zoom In
TR_TOOLTIP_MINI_VIEW_ZOOM_OUT,Mini-View Zoom Out
TR_TOOLTIP_MINI_VIEW_ZOOM_RESET,Mini-View Zoom Reset
TR_TOOLTIP_REPLACE_SPRITE,Replace Sprite
TR_TRANSPARENT,Transparent
TR_TRIM_IMPORT,Trim Import
TR_TRITANOPIA,Tritanopia
TR_UI_SCALE_LABEL,UI Scale :
TR_USE_DELTA_TIME_TOOLTIP,"The movement Ticks uses (Tick + 1 every frame),\nwhich could lead to very strong movements even with low\nmovement values.\nUsing DeltaTime makes it slower ( Tick + 0.016 every frame)\nand more forgiving to use higher values.\nThis needs to be set for every model to prevent sharing issues."
TR_USE_DELTA_TIME,Use DeltaTime
TR_VISIBILITY,Visibility
TR_VISIBLE,Visible :
TR_VOLUME_SENSITIVITY,Vol. Sensitivity
TR_VOLUME,Volume
TR_WIGGLE_PHYSICS,Wiggle Physics
TR_WIGGLE_SPRITE,Wiggle Sprite
TR_WINDOW_SIZE,Window Size
TR_WINDOW,Window
TR_WS_SYNC_EFFECT_TOOLTIP,Syncs the wiggle effect of the Sprite with the Parent's Wiggle effect (Both must be Sprite Objects)
TR_WS_WIGGLE_AMP,Wiggle-Amp :
TR_WS_WIGGLE_FREQUENCY,Wiggle-Freq :
TR_X_AMPLITUDE_WOBBLE,X-Amp Wobble :
TR_X_FREQUENCY_WOBBLE,X-Freq Wobble :
TR_X_OFFSET,X-Offset :
TR_XY_MOVEMENTS_X_AMP,X-Amp :
TR_XY_MOVEMENTS_X_FREQUENCY,X-Freq :
TR_XY_MOVEMENTS_Y_AMP,Y-Amp :
TR_XY_MOVEMENTS_Y_FREQUENCY,Y-Freq :
TR_XY_MOVEMENTS,X-Y Movements
TR_Y_AMPLITUDE_WOBBLE,Y-Amp Wobble :
TR_Y_FREQUENCY_WOBBLE,Y-Freq Wobble :
TR_Y_OFFSET,Y-Offset :
TR_YES,Yes
TR_Z_ORDER,Z Order :
Wiggle,Wiggle
Window,Window
